PaymentID,ReportID,PaymentMethod,PaymentDate,TotalAmount,CompanyPaidAmount,EmployeeDueAmount,PaymentStatus
PAY-1,00033643-ab3c-4c37-a7ac-ac88400f7ff1,ExpenseReimbursement,2024-06-04T00:00:00,877.16,791.44,85.72,PAID
PAY-2,00041e7d-3095-4452-b3cf-cbe430cedb3b,CorporateCardSettlement,2025-10-09T00:00:00,1055.79,983.66,72.13,PAID
PAY-3,000edf84-9318-49aa-93b1-5870e69aad3e,ExpenseReimbursement,2024-10-20T00:00:00,642.22,501.56,140.66,PAID
PAY-4,00127864-9b52-4b54-a514-410693d9a4dc,CorporateCardSettlement,2025-09-26T00:00:00,747.01,595.21,151.8,PAID
PAY-5,001e2e66-effa-4265-81e8-563fc01e0fa1,ExpenseReimbursement,2024-08-10T00:00:00,368.64,304.89,63.75,PAID
PAY-6,001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,BankTransfer,2023-12-24T00:00:00,507.26,499.2,8.06,PAID
PAY-7,0027f2ca-eecf-41d6-95ac-6affca75d32a,CorporateCardSettlement,2025-02-01T00:00:00,789.9,684.79,105.11,PAID
PAY-8,003570ea-6c3f-49c0-aa19-53d339d03ea6,CorporateCardSettlement,2024-12-04T00:00:00,626.18,603.11,23.07,PAID
PAY-9,00381332-ec62-4f74-9d55-30a311dba80f,CorporateCardSettlement,2023-11-02T00:00:00,41.41,40.11,1.3,PAID
PAY-10,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,BankTransfer,2024-05-08T00:00:00,313.12,258.52,54.6,PAID
PAY-11,00590874-132b-4976-9892-3b46a3f38573,ExpenseReimbursement,2025-08-28T00:00:00,99.02,77.31,21.71,PAID
PAY-12,005ba28d-f5a5-4e7d-af60-cd63d388e73e,BankTransfer,2025-08-20T00:00:00,199.88,158.75,41.13,PAID
PAY-13,005e377f-5cd5-49f5-ad0f-c5132d106a78,BankTransfer,2024-01-12T00:00:00,1317.83,1179.33,138.5,PAID
PAY-14,00649060-db22-4827-8cf8-c11b02eb476b,BankTransfer,2025-07-11T00:00:00,86.87,83.15,3.72,PAID
PAY-15,006bf563-aa07-4727-9a48-2cafc07bb6c3,BankTransfer,2025-02-05T00:00:00,719.14,677.35,41.79,PAID
PAY-16,007ff11d-3be2-4ddc-8780-d952cfe6b953,CorporateCardSettlement,2024-02-23T00:00:00,146.16,119.07,27.09,PAID
PAY-17,0081de6a-c87f-40c2-935c-d98921a92166,BankTransfer,2024-01-21T00:00:00,1314.35,1096.03,218.32,PAID
PAY-18,00869cf4-9e72-4f07-9cd4-c65f3ee47d75,BankTransfer,2024-03-07T00:00:00,11.25,9.41,1.84,PAID
PAY-19,00a1fc81-3eef-44da-a261-b7a327834c06,CorporateCardSettlement,2025-09-17T00:00:00,522.71,507.2,15.51,PAID
PAY-20,00a93cd2-14b7-4859-8ef1-3446e5b8244d,BankTransfer,2024-08-13T00:00:00,392.77,368.1,24.67,PAID
PAY-21,00a94503-7be4-4cff-b0af-0d9a3570c7da,ExpenseReimbursement,2024-09-18T00:00:00,1376.44,1038.68,337.76,PAID
PAY-22,00c0fc9e-b9e8-4a54-8e9d-d38ef35d839c,ExpenseReimbursement,2025-08-01T00:00:00,9.25,7.06,2.19,PAID
PAY-23,00cf9c8c-9f01-483a-ad87-71a4cf5ba691,CorporateCardSettlement,2025-01-22T00:00:00,787.87,591.74,196.13,PAID
PAY-24,00d9f62d-9c1c-4a94-b8c0-1154086323eb,BankTransfer,2024-08-11T00:00:00,562.64,547.22,15.42,PAID
PAY-25,00e716a7-2229-47f9-a46b-9c66f413217f,ExpenseReimbursement,2024-07-11T00:00:00,1305.52,1286.65,18.87,PAID
PAY-26,00e8f3c1-9171-45bc-a7f7-8a8ce95155db,CorporateCardSettlement,2025-01-24T00:00:00,606.84,540.53,66.31,PAID
PAY-27,00ee9b45-6883-407c-9ac1-657b73108d17,BankTransfer,2025-05-04T00:00:00,728.26,642.6,85.66,PAID
